date,KWH
2011-11-23,6.953
2011-11-24,8.536
2011-11-25,9.5
2011-11-26,10.268
2011-11-27,10.851
2011-11-28,9.103
2011-11-29,9.275
2011-11-30,8.814
2011-12-01,9.228
2011-12-02,10.146
2011-12-03,10.78
2011-12-04,12.163
2011-12-05,10.61
2011-12-06,11.673
2011-12-07,10.889
2011-12-08,11.525
2011-12-09,11.76
2011-12-10,12.634
2011-12-11,13.749
2011-12-12,11.952
2011-12-13,11.957
2011-12-14,12.393
2011-12-15,12.535
2011-12-16,13.376
2011-12-17,13.512
2011-12-18,14.732
2011-12-19,13.774
2011-12-20,12.709
2011-12-21,12.149
2011-12-22,11.839
2011-12-23,12.255
2011-12-24,13.065
2011-12-25,12.949
2011-12-26,11.066
2011-12-27,11.495
2011-12-28,11.791
2011-12-29,12.145
2011-12-30,12.404
2011-12-31,12.436
2012-01-01,12.466
2012-01-02,12.755
2012-01-03,12.744
2012-01-04,12.741
2012-01-05,12.848
2012-01-06,12.72
2012-01-07,12.765
2012-01-08,13.396
2012-01-09,12.449
2012-01-10,11.976
2012-01-11,11.981
2012-01-12,12.057
2012-01-13,12.523
2012-01-14,13.496
2012-01-15,14.271
2012-01-16,13.048
2012-01-17,13.267
2012-01-18,12.789
2012-01-19,12.275
2012-01-20,12.783
2012-01-21,12.736
2012-01-22,13.721
2012-01-23,12.614
2012-01-24,12.872
2012-01-25,12.553
2012-01-26,12.372
2012-01-27,12.472
2012-01-28,13.368
2012-01-29,14.128
2012-01-30,13.452
2012-01-31,13.891
2012-02-01,13.815
2012-02-02,14.369
2012-02-03,14.521
2012-02-04,15.154
2012-02-05,15.94
2012-02-06,14.047
2012-02-07,13.883
2012-02-08,15.197
2012-02-09,14.402
2012-02-10,14.607
2012-02-11,14.874
2012-02-12,15.879
2012-02-13,14.305
2012-02-14,13.653
2012-02-15,13.277
2012-02-16,12.593
2012-02-17,12.442
2012-02-18,12.955
2012-02-19,13.755
2012-02-20,13.306
2012-02-21,12.64
2012-02-22,12.884
2012-02-23,11.622
2012-02-24,11.533
2012-02-25,11.806
2012-02-26,12.444
2012-02-27,12.196
2012-02-28,11.568
2012-02-29,11.517
2012-03-01,11.219
2012-03-02,11.847
2012-03-03,12.208
2012-03-04,13.464
2012-03-05,12.716
2012-03-06,13.029
2012-03-07,12.758
2012-03-08,12.045
2012-03-09,12.157
2012-03-10,11.925
2012-03-11,12.049
2012-03-12,10.988
2012-03-13,10.997
2012-03-14,10.993
2012-03-15,10.97
2012-03-16,11.31
2012-03-17,12.043
2012-03-18,12.155
2012-03-19,11.056
2012-03-20,10.731
2012-03-21,10.38
2012-03-22,10.205
2012-03-23,10.124
2012-03-24,10.228
2012-03-25,10.698
2012-03-26,9.985
2012-03-27,9.568
2012-03-28,9.531
2012-03-29,9.342
2012-03-30,9.343
2012-03-31,10.423
2012-04-01,10.747
2012-04-02,9.926
2012-04-03,10.165
2012-04-04,10.25
2012-04-05,10.645
2012-04-06,10.556
2012-04-07,10.313
2012-04-08,10.616
2012-04-09,10.633
2012-04-10,9.919
2012-04-11,10.064
2012-04-12,10.115
2012-04-13,10.017
2012-04-14,10.255
2012-04-15,11.126
2012-04-16,10.445
2012-04-17,10.763
2012-04-18,10.793
2012-04-19,10.693
2012-04-20,10.285
2012-04-21,10.237
2012-04-22,10.676
2012-04-23,10.233
2012-04-24,10.033
2012-04-25,10.497
2012-04-26,9.913
2012-04-27,9.66
2012-04-28,10.719
2012-04-29,11.559
2012-04-30,9.338
2012-05-01,9.207
2012-05-02,9.286
2012-05-03,10.019
2012-05-04,9.998
2012-05-05,10.232
